name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
pune,2023-08-23,81.2,68.8,73.4,84.3,68.8,73.8,67.7,83,0.02,100,20.83,rain,0,0,18.1,14.5,255.5,1009.3,77.8,13.6,270.1,23.2,9,10,2023-08-23T06:18:03,2023-08-23T18:56:29,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,remote
pune,2023-08-24,79.6,69,73.1,79.6,69,73.1,67.7,83.8,0.024,19,25,rain,0,0,21.7,15.7,249.9,1007.9,71.2,14.2,271.1,23.6,9,10,2023-08-24T06:18:16,2023-08-24T18:55:44,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
pune,2023-08-25,77.4,69.9,72.4,77.4,69.9,72.4,67.9,86,0.024,57.1,25,rain,0,0,22.6,13,243.7,1008.5,84.3,11.7,143.8,12.3,6,10,2023-08-25T06:18:29,2023-08-25T18:54:59,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,
pune,2023-08-26,79.4,69,73,79.4,69,73,67,82.2,0.008,66.7,8.33,rain,0,0,21,14.8,247.5,1009.8,59.7,14.4,235,20.4,8,10,2023-08-26T06:18:42,2023-08-26T18:54:14,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
pune,2023-08-27,80.5,67.7,73,83.2,67.7,73.2,67,82.5,0.016,52.4,16.67,rain,0,0,18.6,14.5,251.5,1010.7,40.9,15,264.9,23,9,10,2023-08-27T06:18:54,2023-08-27T18:53:27,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,
pune,2023-08-28,80,69,73.1,80,69,73.1,67.4,83.1,0.028,19,16.67,rain,0,0,19.2,14.1,255.5,1010.5,42,14.1,266.9,23.3,9,10,2023-08-28T06:19:06,2023-08-28T18:52:41,0.4,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
pune,2023-08-29,78.5,68.8,72.5,78.5,68.8,72.5,67,83.5,0.036,28.6,25,rain,0,0,18.8,13.4,251.6,1009.8,38.5,14.7,252.8,21.9,8,10,2023-08-29T06:19:17,2023-08-29T18:51:53,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
pune,2023-08-30,80.5,68.4,73.3,83.2,68.4,73.5,67.2,82,0.036,33.3,25,rain,0,0,15.7,12.8,252.4,1009.5,50.3,14.1,264.8,22.8,9,10,2023-08-30T06:19:29,2023-08-30T18:51:06,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
pune,2023-08-31,81.4,68.3,73.8,84,68.3,74.3,67,80.3,0.024,19,12.5,rain,0,0,15.2,13.4,255.4,1009.4,65.8,15,269.3,23.1,8,10,2023-08-31T06:19:40,2023-08-31T18:50:17,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
pune,2023-09-01,77.1,68.1,72.3,77.1,68.1,72.3,66.7,83.1,0.012,14.3,12.5,rain,0,0,16.3,11.2,249.7,1009.6,92.5,15,155.8,13.7,4,10,2023-09-01T06:19:51,2023-09-01T18:49:29,0.54,Overcast,Cloudy skies throughout the day.,cloudy,
pune,2023-09-02,80.9,67.4,73.3,83.1,67.4,73.6,66.2,79.6,0.02,14.3,12.5,rain,0,0,16.3,11.9,255.6,1008.9,24.4,15,287.6,24.9,9,10,2023-09-02T06:20:02,2023-09-02T18:48:40,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
pune,2023-09-03,81.4,67.7,73.3,84.1,67.7,73.7,66.8,81.2,0.024,19,12.5,rain,0,0,15.4,13.4,254.8,1009,47.2,15,280.9,24,9,10,2023-09-03T06:20:13,2023-09-03T18:47:50,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
pune,2023-09-04,77.8,67.6,72.1,77.8,67.6,72.1,66.8,83.8,0.004,23.8,4.17,rain,0,0,14.8,10.5,250.8,1009.2,89.9,14.7,157,13.7,4,10,2023-09-04T06:20:24,2023-09-04T18:47:00,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
pune,2023-09-05,81.1,67.2,73.2,83.9,67.2,73.6,67.3,82.9,0.016,38.1,12.5,rain,0,0,15.2,13.2,251.3,1008.8,72.2,13.2,261.5,22.8,8,10,2023-09-05T06:20:34,2023-09-05T18:46:10,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
pune,2023-09-06,81.6,68.3,73.9,84.9,68.3,74.4,68,83.1,0.047,33.3,12.5,rain,0,0,16.6,13.2,251.3,1008.5,66.7,11.6,270.5,23.4,9,10,2023-09-06T06:20:45,2023-09-06T18:45:20,0.71,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
